hhid,clustnum,children16,pensioners,f_pensioners,members,maxeduc,meaneduc,percapita_exp,hh_exp,cm_16_exp
193001,193,2,0,0,9,10,5.333333333,6.702070972,8.89929555,6.826968966
193002,193,2,0,0,9,11,7,6.357067513,8.554292091,6.481965507
193003,193,3,0,0,5,10,4,6.638366158,8.24780407,6.563182111
193004,193,0,0,0,6,10,6.333333333,6.688457951,8.48021742,6.867633898
193005,193,2,0,0,5,11,6.8,6.920248872,8.529686784,6.917103262
193006,193,1,0,0,6,8,3.666666667,6.834430109,8.626189578,6.941567619
193007,193,4,1,1,8,10,2.25,5.768415592,7.847857134,5.77553055
193008,193,2,0,0,6,9,4,6.888949559,8.680709028,6.929389894
193009,193,1,0,0,4,11,9.25,7.063412442,8.449706803,7.096037146
193010,193,2,0,0,6,10,7,6.991530111,8.783289581,7.031970446
193011,193,9,0,0,16,9,3.1875,5.112269927,7.884858649,5.166476252
193012,193,3,0,0,8,10,4,6.219079855,8.298521397,6.272358778
193013,193,3,2,1,9,10,3.777777778,6.58883193,8.786056508,6.669818776
193014,193,2,0,0,7,10,6.142857143,6.649362164,8.595272313,6.723774925
193015,193,5,0,0,9,11,5.666666667,6.464786409,8.662010986,6.463898655
193016,193,4,0,0,11,8,3.545454545,5.903717303,8.301612576,5.993158154
194001,194,1,0,0,3,9,5.666666667,7.007126676,8.105738965,6.978252293
194002,194,6,0,0,9,5,1.222222222,6.388925882,8.586150459,6.349734475
194004,194,0,0,0,5,9,3.2,5.877364233,7.486802146,6.038308024
194005,194,0,0,0,2,7,6,6.129237456,6.822384636,6.198552174
194006,194,0,0,0,2,7,6.5,6.62270501,7.315852191,6.692019728
194007,194,1,0,0,3,10,6,6.236869987,7.335482276,6.207995604
194008,194,1,0,0,2,4,2,5.885436101,6.578583282,5.753921623
194009,194,1,0,0,3,9,5.333333333,6.772585872,7.871198161,6.743711489
194010,194,0,0,0,3,5,3,6.318568203,7.417180492,6.428429432
194011,194,5,0,0,10,10,4.3,5.157303544,7.459888637,5.186732857
194012,194,2,0,0,4,10,4.75,6.30339221,7.689686571,6.24119245
194013,194,8,1,1,12,8,1.166666667,6.115348452,8.600255101,6.104925251
194014,194,1,0,0,6,10,6.666666667,6.366262491,8.15802196,6.473400001
194015,194,2,0,0,6,10,4.166666667,6.07716079,7.868920259,6.117601125
194016,194,0,0,0,2,10,10,6.8013519,7.49449908,6.870666618
194017,194,0,1,1,1,1,1,6.781144108,6.781144108,6.781144108
194018,194,4,0,0,8,9,4.75,6.135254156,8.214695697,6.142369114
194019,194,2,0,0,5,7,4.6,6.005321735,7.614759647,6.002176125
194020,194,2,0,0,5,9,5.6,5.585104622,7.194542535,5.581959012
194021,194,2,0,0,4,9,4.75,5.496277347,6.882571708,5.434077587
194022,194,3,0,0,5,5,1.6,6.066190264,7.675628176,5.991006217
194023,194,2,0,0,4,10,4.5,6.013498654,7.399793015,5.951298894
194024,194,4,0,0,6,5,1.833333333,5.810734708,7.602494178,5.73099679
194025,194,4,0,0,8,10,4.625,6.328628716,8.408070258,6.335743674
195001,195,0,0,0,4,11,10,6.845186178,8.231480539,6.983815614
195002,195,1,0,0,5,10,7.4,6.507236083,8.116673996,6.582400713
195003,195,0,1,1,5,11,11,7.033670449,8.643108361,7.19461424
195004,195,5,0,0,8,6,1.875,5.775044014,7.854485555,5.738247824
195005,195,2,0,0,6,4,1.666666667,5.783018462,7.574777931,5.823458797
195006,195,1,0,0,2,1,0.5,6.48390569,7.17705287,6.352391211
195007,195,1,0,0,5,10,6.8,6.481614305,8.091052217,6.556778934
195008,195,3,0,0,6,5,1.166666667,6.568127162,8.359886632,6.546473913
195009,195,2,0,0,5,5,2.4,6.694386227,8.30382414,6.691240617
195010,195,5,0,0,11,9,2.909090909,5.611291592,8.009186865,5.666766148
195011,195,2,0,0,3,8,6,6.889319939,7.987932228,6.740267303
195012,195,2,0,0,4,10,4.75,6.135169136,7.521463497,6.072969376
195013,195,1,1,0,8,10,6.75,6.136031802,8.215473343,6.289413796
195014,195,6,0,0,10,9,4.1,5.643459215,7.946044308,5.637589886
195015,195,0,0,0,4,8,5.25,6.54769334,7.933987701,6.686322776
195016,195,4,0,0,6,11,5.166666667,6.71021372,8.501973189,6.630475802
195017,195,0,0,0,4,10,9,6.426560217,7.812854578,6.565189653
195018,195,0,0,0,3,10,7.666666667,6.833693502,7.932305791,6.943554731
195019,195,4,0,0,7,11,4.285714286,6.521246729,8.467156878,6.489654759
195020,195,5,2,1,11,10,3.454545455,6.102118031,8.500013304,6.157592587
196001,196,1,0,0,8,10,7.375,6.81289847,8.892340012,6.966280465
196002,196,1,0,0,4,8,6,6.746176567,8.132470928,6.778801271
196003,196,3,1,1,9,5,2.555555556,5.595498301,7.792722879,5.676485147
196004,196,5,1,1,10,10,3.8,5.928989759,8.231574852,5.958419072
196005,196,0,0,0,2,11,9.5,7.739967986,8.433115167,7.809282704
196006,196,0,1,1,3,9,5,7.325785651,8.42439794,7.43564688
196007,196,1,0,0,6,10,6.666666667,6.157127784,7.948887253,6.264265294
196008,196,3,1,1,6,10,4.5,6.551311849,8.343071318,6.5296586
196009,196,1,0,0,5,7,5.6,6.652814951,8.262252863,6.72797958
196010,196,0,0,0,4,9,6,7.400481554,8.786775916,7.539110991
196011,196,2,0,0,8,11,6.875,6.271078374,8.350519916,6.373017796
196012,196,4,1,1,8,10,5.625,5.937724105,8.017165646,5.944839063
196013,196,2,0,0,8,10,5.5,6.452824687,8.532266229,6.554764109
196014,196,3,0,0,8,10,5.625,6.720099427,8.799540969,6.77337835
